Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Scheduled).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,     85,    85.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ConfigurationDelegate_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Akka Testkit).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,iLog).as(default)"
     1,     78,    78.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SimpleSocketServer_java.html)"
     1,    127,   127.00, sortDependencyGroupArchivesByPathAscending
     1,     88,    88.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RemoteReceiverStreamClient_java.html)"
     1,     54,    54.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.63.html)"
     1,     96,    96.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EpollEventLoopGroup_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PrimeFaces).as(default)"
     1,     79,    79.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.89.html)"
     1,      1,     1.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(5ca5b08d-651c-493f-a212-3af139a3277c)"
     1,      4,     4.00, Query.fromType(org.jboss.windup.graph.model.WindupConfigurationModel).gremlin()org.jboss.windup.rules.apps.java.scan.provider.DiscoverFilesAndTypesRuleProvider$$Lambda$341/0x0000000840757840@4a122bda.as(default)
     1,      0,     0.00, Query.as(03db74ab-b969-4570-bd15-b0cc44c7323a)
 14761,  34309,     2.32, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,     81,    81.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, micrometer_core_properties.html)"
     1,      0,     0.00, Query.as(a06b0b32-7b4a-4a98-bfb9-3631b76628ee)
     1,      0,     0.00, Query.as(e2248ad6-9cab-4e1c-8c8a-b58999d7bb82)
     1,      1,     1.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(e2b75d73-73ba-4dc8-86e3-81fa5d775813)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Test Interface).as(default)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MonoPeek_java.html)"
     1,    164,   164.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, swagger_ui_standalone_preset_js_map.html)"
     2,    797,   398.50, sortTechUsageStats
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion Web XML).as(default)"
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ShutdownHookAction_java.html)"
     1,      0,     0.00, Query.as(22922937-ef39-4f51-ab9d-11f673a85098)
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.74.html)"
     1,      0,     0.00, Query.as(ba5be22a-fab6-4e6d-b9a6-1e05b262ae48)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,tinylog).as(default)"
     1,    131,   131.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Schedulers_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Resource Adapter).as(default)"
     1,    178,   178.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/org/apache/kafka/clients/admin$).as(default)"
     1,     99,    99.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.50.html)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.82.html)"
     1,     59,    59.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AbstractOioChannel_java.html)"
     1,   1107,  1107.00, "FreeMarkerIterationOperation.render(/reports/templates/migration-issues.ftl, migration_issues.html)"
     1,     88,    88.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DelegateServiceScheduler_java.html)"
     1,      7,     7.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JaxRSWebServiceModel).as(default)
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.134.html)"
     1,    101,   101.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HistogramLogProcessor_java.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.graph.model.DuplicateArchiveModel).as(default)
     1,  70592, 70592.00, FernflowerDecompilationOperation.perform
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.118.html)"
